Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,state
3/29/11,-41.875,26.342,765,15.862,0,1.877899122,21.48694238,0.856292307,Minas Gerais
4/28/11,-41.875,19.439,765,15.459,0.475501874,3.220421854,6.928102144,0.906708069,Minas Gerais
5/28/11,-41.875,24.038,765,11.489,0.08754737,1.758033117,17.09918792,0.775428282,Minas Gerais
6/27/11,-41.875,27.416,765,11.445,0.12702942,1.426437374,16.66114939,0.707589364,Minas Gerais
7/27/11,-41.875,21.381,765,12.877,0.102996792,4.178269842,18.86212052,0.790588699,Minas Gerais
8/26/11,-41.875,25.591,765,12.596,0.24375911,2.592268979,19.51958177,0.741022227,Minas Gerais
9/25/11,-41.875,28.02,765,15.908,0.140762297,4.769403856,26.60606368,0.602540758,Minas Gerais
10/25/11,-41.875,22.004,765,16.031,0.298690783,3.658680349,13.18536978,0.862606323,Minas Gerais
11/24/11,-41.875,19.907,765,17.751,26.45301859,2.037412338,3.718132651,0.96987958,Minas Gerais
12/24/11,-41.875,23.459,765,16.982,1.87454412,3.003312656,16.11370867,0.866475784,Minas Gerais
1/23/12,-41.875,25.185,765,15.563,0.624847111,3.179578142,20.63339828,0.811328179,Minas Gerais
2/22/12,-41.875,26.639,765,15.329,0.966453732,2.249209234,24.03183393,0.809259539,Minas Gerais
3/23/12,-41.875,22.404,765,16.781,9.498021746,1.222887316,5.582049721,0.94065571,Minas Gerais
4/22/12,-41.875,29.477,765,16.497,0.58708242,1.716836581,21.24815698,0.658916316,Minas Gerais
5/22/12,-41.875,17.45,765,15.196,1.350975578,2.678917885,4.431065093,0.934671252,Minas Gerais
6/21/12,-41.875,28.008,765,14.526,0,2.756005711,19.41479814,0.62668435,Minas Gerais
7/21/12,-41.875,26.226,765,13.618,0.178527845,2.228577642,14.08194538,0.718675224,Minas Gerais
8/20/12,-41.875,22.342,765,12.686,0.209427012,5.443373243,21.68578158,0.67308117,Minas Gerais
9/19/12,-41.875,36.147,765,14.522,0,2.110693905,21.2298026,0.491641133,Minas Gerais
10/19/12,-41.875,29.282,765,14.547,0.930404736,2.449635193,15.0658734,0.655568299,Minas Gerais
11/18/12,-41.875,20.195,765,16.53,11.60602405,2.810010229,5.254948688,0.938062904,Minas Gerais
12/18/12,-41.875,33.062,765,15.364,0,1.243900795,31.56674128,0.608097539,Minas Gerais
1/17/13,-41.875,22.96,765,18.02,6.899073624,1.867574997,13.79890204,0.927096976,Minas Gerais
2/16/13,-41.875,29.778,765,15.352,0,2.431909808,29.35615438,0.658832554,Minas Gerais
3/18/13,-41.875,28.093,765,16.335,1.000785852,2.103164456,18.04477738,0.799870872,Minas Gerais
4/17/13,-41.875,24.236,765,17.289,27.43148772,1.150814315,22.45808331,0.936026359,Minas Gerais
5/17/13,-41.875,25.318,765,14.36,0.013732913,2.704626571,19.28293611,0.796125893,Minas Gerais
6/16/13,-41.875,23.303,765,14.321,0.096130368,2.505045493,17.16388086,0.779911249,Minas Gerais
7/16/13,-41.875,27.556,765,12.959,0.106429968,2.097710928,16.70446991,0.668668822,Minas Gerais
8/15/13,-41.875,27.739,765,12.715,0,2.647959968,18.74117605,0.635365684,Minas Gerais
9/14/13,-41.875,21.229,765,13.501,0.305557272,3.315959114,9.716996828,0.795836516,Minas Gerais
10/14/13,-41.875,27.209,765,11.576,0.027465804,3.19653943,29.35389568,0.667463445,Minas Gerais
11/13/13,-41.875,30.084,765,16.272,2.64358368,2.592620388,21.30355453,0.751500712,Minas Gerais
12/13/13,-41.875,22.016,765,17.022,54.93334275,1.187625795,5.387148227,0.963788433,Minas Gerais
