state,month
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,August
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,September
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,October
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,November
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Distrito Federal,December
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,January
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,February
Espirito Santo,March
Espirito Santo,March
Espirito Santo,March
Espirito Santo,March
