,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
4073,2007,-35.3125,24.983,133.0,19.336,1.023960132,2.341302937,13.60788516,0.88289509,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4074,2008,-35.3125,23.094,133.0,19.245,8.104130316000001,2.4436714459999997,7.87719393,0.923139866,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4075,2009,-35.3125,28.159000000000002,133.0,19.956,3.954220733,2.334310921,15.3165438,0.83259813,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4076,2010,-35.3125,29.82,133.0,20.904,1.2908933999999999,3.030148783,27.0667692,0.773894008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4077,2011,-35.3125,30.197,133.0,18.602999999999998,0.0,2.31945312,27.672633,0.796950195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4078,2012,-35.3125,30.405,133.0,20.129,0.030899052000000003,2.8515726839999997,28.32463037,0.7395884909999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4079,2013,-35.3125,31.783,133.0,21.476999999999997,0.887489964,2.706793199,27.74423563,0.712541408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4080,2014,-35.3125,26.191,133.0,21.811999999999998,24.55615836,1.934078498,20.717494199999997,0.906979573,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4081,2015,-35.3125,27.438000000000002,133.0,19.685,8.200263168,1.481462616,23.14867266,0.887884254,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4082,2016,-35.3125,30.787,133.0,18.430999999999997,0.078964236,2.201420929,21.7222857,0.737693156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4083,2017,-35.3125,22.724,133.0,20.929000000000002,2.219581764,3.1457632560000004,2.53237482,0.888816443,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4084,1998,-35.3125,22.848000000000003,133.0,21.275,23.1880212,2.724999845,2.63210742,0.9505834940000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4085,1999,-35.3125,24.414,133.0,18.865,5.90772564,2.583985351,5.34166614,0.9150425729999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4086,2000,-35.3125,30.861,133.0,20.486,1.86424578,2.596614551,25.74360414,0.808975419,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4087,2001,-35.3125,28.789,133.0,18.394000000000002,0.08068086,2.527335141,23.27647464,0.8086513559999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4088,2002,-35.3125,31.364,133.0,20.773000000000003,0.0,3.4206461289999996,27.70592076,0.742215753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4089,2003,-35.3125,27.002,133.0,21.774,15.69328265,2.569809314,24.6099924,0.870936247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4090,2004,-35.3125,27.166999999999998,133.0,21.326,0.6145481660000001,2.291640035,9.21217158,0.841258634,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4091,2005,-35.3125,26.796,133.0,20.612,23.88667388,1.6776017859999999,18.6670098,0.9018447629999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4092,2006,-35.3125,31.171,133.0,20.448,1.36985904,1.975852238,25.90891769,0.7538801959999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4093,2007,-35.3125,29.016,133.0,20.865,3.7387847880000002,2.038672555,13.22859222,0.843685365,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4094,2008,-35.3125,26.061999999999998,133.0,22.781,34.0112628,2.271974315,17.21087118,0.944055766,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4095,2009,-35.3125,27.785,133.0,21.551,5.893132932,2.5915922630000003,19.71005598,0.8650824770000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4096,2010,-35.3125,25.14,133.0,18.304000000000002,5.350684853,1.037313798,6.67507536,0.943249056,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4097,2011,-35.3125,27.304000000000002,133.0,20.324,3.48815916,2.612233811,18.94465728,0.866090762,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4098,2012,-35.3125,27.233,133.0,19.206,0.02059938,3.417106843,25.61894622,0.7730840290000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4099,2013,-35.3125,28.834,133.0,21.789,1.4711374080000001,3.2256092610000002,20.75242626,0.7689243929999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4100,2014,-35.3125,28.628,133.0,19.919,6.703377444,2.5937806340000003,20.79730764,0.816302801,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4101,2015,-35.3125,30.959,133.0,21.358,1.73378088,2.3880835069999997,27.58753044,0.77894049,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4102,2016,-35.3125,24.311999999999998,133.0,19.947,5.95321524,0.78615947,1.755956988,0.913071138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4103,2017,-35.3125,29.695,133.0,22.403000000000002,0.34160582899999997,2.294425344,12.42033291,0.754111513,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4104,1998,-35.3125,32.03,133.0,21.185,0.5664823920000001,2.623607914,27.55315944,0.73793346,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4105,1999,-35.3125,31.171,133.0,21.178,4.39281396,2.301068201,19.22124168,0.784746464,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4106,2000,-35.3125,31.104,133.0,17.239,0.0,2.077682523,22.7946348,0.7621402340000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4107,2001,-35.3125,23.232,133.0,21.506999999999998,12.42142776,2.360501635,2.55492972,0.9437154520000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4108,2002,-35.3125,25.753,133.0,17.843,3.97567764,2.066164223,8.36285508,0.865554562,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4109,2003,-35.3125,27.741,133.0,19.545,0.326156544,2.995115479,21.00577266,0.802815141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4110,2004,-35.3125,26.235,133.0,20.833000000000002,12.60337788,3.640926823,15.87093543,0.900413558,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4111,2005,-35.3125,25.177,133.0,20.434,6.11457984,2.44800798,8.48390652,0.885931855,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4112,2006,-35.3125,31.531999999999996,133.0,21.328000000000003,0.017166132,2.80946939,26.906066999999997,0.725240313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4113,2007,-35.3125,32.114000000000004,133.0,22.1,0.0,3.957537989,27.7936344,0.704638465,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4114,2008,-35.3125,31.590999999999998,133.0,20.294,0.23002632,3.0217818110000003,28.160886600000005,0.712765216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4115,2009,-35.3125,26.378,133.0,21.416,20.88432572,1.567153072,20.3372973,0.925638758,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4116,2010,-35.3125,29.206999999999997,133.0,22.823,9.741784716,2.115829179,22.30531614,0.814789062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4117,2011,-35.3125,28.000999999999998,133.0,21.326,4.68978624,1.619172854,10.82031174,0.894460192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4118,2012,-35.3125,28.381,133.0,22.066999999999997,4.50095724,2.644117504,11.20769874,0.8097588790000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4119,2013,-35.3125,25.377,133.0,20.81,10.39237513,2.169545961,11.85361452,0.935812577,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4120,2014,-35.3125,23.933000000000003,133.0,21.349,21.18817872,1.8150726609999999,5.8966821,0.958329436,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4121,2015,-35.3125,23.299,133.0,18.295,8.557319916,1.8210623719999999,4.54241628,0.948868096,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4122,2016,-35.3125,25.8,133.0,19.408,8.078380776,2.512645591,7.835510267999999,0.93522767,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4123,2017,-35.3125,27.953000000000003,133.0,20.173,0.0,2.901640931,26.54122392,0.824192791,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4124,1998,-35.3125,26.122,133.0,20.346,7.11365328,2.7655820330000003,11.6075268,0.855428593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4125,1999,-35.3125,31.16,133.0,21.261999999999997,0.0,3.582148889,25.83973152,0.730922458,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4126,2000,-35.3125,31.156,133.0,21.916999999999998,4.593654792,2.5814219919999997,22.1825286,0.7529987490000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4127,2001,-35.3125,32.080999999999996,133.0,21.745,0.020599344,3.120590632,28.1742156,0.661029493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4128,2002,-35.3125,32.87,133.0,21.218000000000004,0.0,2.7871074030000003,27.76859802,0.7283354120000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4129,2003,-35.3125,29.515,133.0,22.46,13.50974945,1.669496427,20.77419672,0.850658108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4130,2004,-35.3125,27.079,133.0,20.982,22.060202399999998,1.212536743,21.96912312,0.9233058059999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4131,2005,-35.3125,25.363000000000003,133.0,21.508000000000003,17.32407552,2.73803247,16.53215652,0.9168995520000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4132,2006,-35.3125,26.919,133.0,20.83,9.273142872000001,3.208055435,18.27163782,0.8779372540000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4133,2007,-35.3125,23.596,133.0,21.11,0.261783475,2.9436312239999998,5.12093916,0.860547996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4134,2008,-35.3125,26.565,133.0,18.521,3.666686285,2.6140591509999997,19.72445868,0.8661419990000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4135,2009,-35.3125,26.525,133.0,18.878,5.898287671,1.9093225409999999,16.62676711,0.903973543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4136,2010,-35.3125,29.421999999999997,133.0,18.909000000000002,0.19226071399999997,2.78132639,26.50134564,0.804521807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4137,2011,-35.3125,30.430999999999997,133.0,20.796999999999997,0.0,3.049553833,24.42600216,0.747088434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4138,2012,-35.3125,30.975,133.0,18.736,0.0,2.602278569,28.10716632,0.699327545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4139,2013,-35.3125,31.744,133.0,21.395,0.0,2.9012019380000003,27.14411502,0.7223379129999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4140,2014,-35.3125,31.369,133.0,22.689,3.16029011,2.409806557,27.15772104,0.7708287290000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4141,2015,-35.3125,30.135,133.0,21.404,5.153274,2.029484435,26.077329000000002,0.8136531459999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4142,2016,-35.3125,27.447,133.0,21.73,11.94248304,1.722121777,21.5250741,0.902144334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4143,2017,-35.3125,26.65,133.0,22.221,36.7664328,1.83300458,19.3184982,0.936663737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4144,1998,-35.3125,24.599,133.0,20.62,14.59293624,2.524564585,10.77704723,0.9362374720000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4145,1999,-35.3125,22.464000000000002,133.0,19.896,7.96337352,2.024222081,2.35541214,0.945467886,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4146,2000,-35.3125,24.36,133.0,17.683,4.497527916,2.080993635,5.74723332,0.911067711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4147,2001,-35.3125,28.717,133.0,19.366,0.480651746,2.7748364389999995,24.28767792,0.8010901140000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4148,2002,-35.3125,33.044000000000004,133.0,20.4,0.0,2.87055798,27.43274628,0.743501582,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4149,2003,-35.3125,28.11,133.0,19.863,8.79764112,2.2045379869999997,26.94369528,0.827696441,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4150,2004,-35.3125,29.39,133.0,22.274,8.57963772,2.91727292,27.51795108,0.808691616,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4151,2005,-35.3125,29.804000000000002,133.0,20.627,0.858306888,2.41032161,17.81606981,0.818030732,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4152,2006,-35.3125,27.734,133.0,22.375,7.281877787999999,1.7947051059999999,17.68759013,0.861671938,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4153,2007,-35.3125,31.653000000000002,133.0,21.545,1.38702366,2.104704661,26.883838800000003,0.786429231,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4154,2008,-35.3125,27.214000000000002,133.0,22.174,17.063568,1.812082194,14.66836344,0.913283338,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4155,2009,-35.3125,25.383000000000003,133.0,21.303,15.394589999999999,1.947545521,12.21288786,0.929652342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4156,2010,-35.3125,23.118000000000002,133.0,20.756,6.863018666,2.570089529,2.79073224,0.942014516,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4157,2011,-35.3125,26.206999999999997,133.0,17.185,0.013732906000000001,2.072234426,11.82228894,0.857926822,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4158,2012,-35.3125,25.764,133.0,19.973,2.962875269,4.231933073,17.12070252,0.8562288140000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4159,2013,-35.3125,24.275,133.0,21.241999999999997,7.89985656,2.1664485940000002,4.06558413,0.9427108540000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4160,2014,-35.3125,28.094,133.0,19.484,0.418853484,3.186848494,26.6262174,0.78865963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4161,2015,-35.3125,27.14,133.0,20.965,1.80587772,2.7499419639999996,9.04832388,0.8261921440000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4162,2016,-35.3125,29.153000000000002,133.0,21.506999999999998,13.53378744,2.522934053,26.51771808,0.8291787840000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4163,2017,-35.3125,25.509,133.0,20.776,5.33867256,1.7103261369999998,6.55132338,0.88657576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4164,1998,-35.3125,31.781,133.0,20.805999999999997,0.0,2.775127317,27.1092339,0.71318766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4165,1999,-35.3125,32.861,133.0,21.584,0.082397448,2.3610165640000003,25.49024791,0.744269713,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4166,2000,-35.3125,27.426,133.0,21.498,16.59622093,1.267047585,22.73366358,0.908473657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4167,2001,-35.3125,28.054000000000002,133.0,21.872,6.17294777,3.804884098,18.52492644,0.8347839340000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4168,2002,-35.3125,26.853,133.0,21.02,3.1482693,3.0374687710000003,14.77237932,0.85605728,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4169,2003,-35.3125,22.654,133.0,20.726999999999997,4.8563046,3.3249191469999997,6.11803008,0.930390827,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4170,2004,-35.3125,24.548000000000002,133.0,20.691,12.07038103,2.8841322139999996,10.01211001,0.944352638,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4171,2005,-35.3125,23.778000000000002,133.0,21.471999999999998,9.54780498,3.506709789,6.8298747120000005,0.942271885,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4172,2006,-35.3125,24.951,133.0,20.593000000000004,11.43092905,3.1187367760000004,13.96265328,0.8995083079999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4173,2007,-35.3125,30.975,133.0,21.685,0.0,3.4190685139999997,27.74805624,0.7179673259999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4174,2008,-35.3125,28.403000000000002,133.0,19.921,4.67262756,1.785878258,12.96168552,0.855699867,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4175,2009,-35.3125,30.748,133.0,21.134,0.010299679,3.037019,27.73175688,0.7125008829999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4176,2010,-35.3125,28.375999999999998,133.0,20.230999999999998,4.65717024,1.804159359,25.49958883,0.852861193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4177,2011,-35.3125,29.085,133.0,21.156,2.441025396,2.080512618,18.03662208,0.8298133120000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4178,2012,-35.3125,28.863000000000003,133.0,21.249000000000002,2.598952932,1.788326065,24.613034399999997,0.8674251620000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4179,2013,-35.3125,27.393,133.0,20.837,11.44294686,1.345765203,19.72771938,0.9463268770000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4180,2014,-35.3125,24.983,133.0,20.873,8.799361099,2.023118814,8.245012788,0.956324257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4181,2015,-35.3125,22.639,133.0,20.256,10.13574128,1.7863679890000002,2.1783375719999998,0.952062436,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4182,2016,-35.3125,22.706999999999997,133.0,21.340999999999998,21.3615468,1.954294538,2.42150616,0.963524437,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4183,2017,-35.3125,27.691,133.0,17.375999999999998,0.0034332259999999997,2.207404485,25.23521412,0.8459407409999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4184,1998,-35.3125,29.795,133.0,16.629,0.0,1.9281986930000001,26.94223152,0.786535449,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4185,1999,-35.3125,25.818,133.0,20.599,7.384015799999999,1.632717974,10.011878999999999,0.888488768,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4186,2000,-35.3125,28.209,133.0,19.795,9.17358192,2.060867822,27.315961199999997,0.836677852,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4187,2001,-35.3125,26.515,133.0,19.262999999999998,10.117719500000002,1.638813725,26.3441304,0.9074802340000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4188,2002,-35.3125,29.449,133.0,22.195,5.651094866,2.361854787,26.95640515,0.8536717909999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4189,2003,-35.3125,31.99,133.0,22.151999999999997,0.0,2.57790811,27.56143314,0.7750752740000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4190,2004,-35.3125,28.375,133.0,21.136999999999997,13.27458132,1.6539620590000002,24.5658402,0.89800744,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4191,2005,-35.3125,28.094,133.0,22.551,9.856794485,2.0319589209999998,22.21671834,0.900791318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4192,2006,-35.3125,28.588,133.0,20.781,5.46398118,1.736956776,20.33583804,0.861958052,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4193,2007,-35.3125,27.095,133.0,20.932,0.0,3.314750127,19.7048799,0.8255389809999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4194,2008,-35.3125,25.46,133.0,19.702,1.6342161480000001,3.1997729360000005,16.2479853,0.828248943,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4195,2009,-35.3125,27.517,133.0,20.834,7.62175764,3.776635228,20.21642658,0.8386065309999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4196,2010,-35.3125,29.897,133.0,17.898,0.0,2.75390917,26.9319348,0.790157572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4197,2011,-35.3125,29.741,133.0,20.235,1.12438206,3.0025190680000002,21.80857752,0.798859,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
