,Years,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Relative Humidity,Wind,April,August,December,February,January,July,June,March,May,November,October,September,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,Distrito Federal,Espirito Santo,Goias,Maranhao,Mato Grosso,Minas Gerais,Paraiba,Pará,Pernambuco,Piau,Rio
81,1999,-41.875,27.511999999999997,765.0,14.617,0.010299679,3.634634222,25.22312172,0.627190262,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2000,-41.875,28.613000000000003,765.0,14.912,0.037765505,3.8132837680000002,28.11561066,0.619551314,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2001,-41.875,27.846,765.0,17.186,0.308990628,2.736587821,25.9104393,0.735255254,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2002,-41.875,21.965999999999998,765.0,18.496,19.9487628,2.632670775,4.36381956,0.941128324,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2003,-41.875,29.884,765.0,15.767000000000001,0.0,2.6912546610000003,31.4654778,0.664830148,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2004,-41.875,22.531999999999996,765.0,17.839000000000002,1.768111812,3.0919409910000004,8.6887701,0.893862956,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2005,-41.875,30.105,765.0,20.051,2.63671938,1.755700945,25.060838399999998,0.786042841,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2006,-41.875,22.151999999999997,765.0,17.462,0.71754421,1.7780798009999998,7.6314375,0.908938075,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2007,-41.875,25.004,765.0,17.244,1.5707016580000002,1.9206208580000002,8.0301888,0.880058199,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2008,-41.875,23.773000000000003,765.0,16.98,1.2823111440000001,2.520779486,9.16245126,0.870073674,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2009,-41.875,21.573,765.0,13.293,0.64802178,2.25637618,5.207903099999999,0.839133948,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2010,-41.875,25.029,765.0,12.529000000000002,0.024032598999999998,2.3557869,15.70718934,0.75634611,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2011,-41.875,26.938000000000002,765.0,12.187000000000001,0.0,3.187694744,23.13871956,0.66558721,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2012,-41.875,31.528000000000002,765.0,18.237000000000002,0.010299679,2.953236612,20.52095805,0.6075304029999999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2013,-41.875,32.639,765.0,15.77,0.02746584,3.110376788,29.7544392,0.511500684,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
