,0
2334,2.654
2335,6.6610000000000005
2336,5.182
2337,6.085
2338,3.6039999999999996
2339,6.472
2340,3.0239999999999996
2341,4.772
2342,3.498
2343,1.861
2344,3.228
2345,2.404
2346,5.0
2347,2.918
2348,5.812
2349,6.746
2350,5.351
2351,6.011
2352,2.237
2353,1.494
2354,2.267
2355,3.525
2356,5.83
2357,4.928999999999999
2358,6.398
2359,4.769
2360,2.004
2361,2.2969999999999997
2362,2.331
2363,5.0
2364,4.005
2365,2.261
2366,2.01
2367,2.529
2368,3.8689999999999998
2369,4.35
2370,3.9819999999999998
2371,2.3
2372,1.399
2373,1.001
2374,1.4609999999999999
2375,1.296
2376,2.165
2377,2.424
2378,3.255
2379,1.66
2380,1.052
2381,800.0
2382,1.101
2383,1.768
2384,1.8030000000000002
2385,1.629
2386,1.296
2387,2.6919999999999997
2388,2.4
2389,3.7060000000000004
2390,1.577
2391,0.0
2392,39.0
2393,44.0
2394,44.0
2395,172.0
2396,896.0
2397,301.0
2398,438.0
2399,947.0
2400,476.0
2401,245.0
2402,527.0
2403,298.0
2404,171.0
2405,166.0
2406,269.0
2407,315.0
2408,960.0
2409,374.0
2410,482.0
2411,0.0
2412,28.0
2413,35.0
2414,54.0
2415,22.0
2416,592.0
2417,272.0
2418,871.0
2419,383.0
2420,213.0
2421,180.0
2422,248.0
2423,431.0
2424,119.0
2425,193.0
2426,375.0
2427,199.0
2428,542.0
2429,1.05
2430,337.0
2431,0.0
2432,18.0
2433,60.0
2434,24.0
2435,103.0
2436,554.0
2437,743.0
2438,362.0
2439,448.0
2440,476.0
2441,180.0
2442,325.0
2443,605.0
2444,252.0
2445,423.0
2446,563.0
2447,655.0
2448,705.0
2449,1.085
2450,719.0
2451,0.0
2452,76.0
2453,59.0
2454,309.0
2455,641.0
2456,903.0
2457,441.0
2458,372.0
2459,161.0
2460,79.0
2461,274.0
2462,169.0
2463,769.0
2464,345.0
2465,521.0
2466,338.0
2467,859.0
2468,947.0
2469,1.77
2470,606.0
2471,0.0
2472,731.0
2473,1.194
2474,1.193
2475,2.528
2476,942.0
2477,2.4130000000000003
2478,1.641
2479,269.0
2480,359.0
2481,119.0
2482,516.0
2483,1.3130000000000002
2484,547.0
2485,812.0
2486,739.0
2487,933.0
2488,541.0
2489,1.081
2490,845.0
2491,2.201
2492,2.201
2493,4.3580000000000005
2494,6.665
2495,7.877999999999999
2496,4.313
2497,9.812999999999999
2498,2.294
2499,856.0
2500,1.339
2501,403.0
2502,979.0
2503,1.025
2504,974.0
2505,1.651
2506,1.213
2507,1.795
2508,1.402
2509,1.4169999999999998
2510,2.041
2511,3.7119999999999997
2512,3.926
2513,1.338
2514,1.555
2515,5.6610000000000005
2516,5.435
2517,11.517000000000001
2518,4.172
2519,1.9409999999999998
2520,1.79
