year,state,month,number,date
2015,Alagoas,Agosto,3,"Thursday, January 1, 2015"
2016,Alagoas,Agosto,5,"Friday, January 1, 2016"
2017,Alagoas,Agosto,1,"Sunday, January 1, 2017"
1998,Alagoas,Setembro,14,"Thursday, January 1, 1998"
1999,Alagoas,Setembro,3,"Friday, January 1, 1999"
2000,Alagoas,Setembro,22,"Saturday, January 1, 2000"
2001,Alagoas,Setembro,5,"Monday, January 1, 2001"
2002,Alagoas,Setembro,14,"Tuesday, January 1, 2002"
2003,Alagoas,Setembro,8,"Wednesday, January 1, 2003"
2004,Alagoas,Setembro,5,"Thursday, January 1, 2004"
2005,Alagoas,Setembro,7,"Saturday, January 1, 2005"
2006,Alagoas,Setembro,4,"Sunday, January 1, 2006"
2007,Alagoas,Setembro,2,"Monday, January 1, 2007"
2008,Alagoas,Setembro,9,"Tuesday, January 1, 2008"
2009,Alagoas,Setembro,13,"Thursday, January 1, 2009"
2010,Alagoas,Setembro,5,"Friday, January 1, 2010"
2011,Alagoas,Setembro,5,"Saturday, January 1, 2011"
2012,Alagoas,Setembro,6,"Sunday, January 1, 2012"
2013,Alagoas,Setembro,4,"Tuesday, January 1, 2013"
2014,Alagoas,Setembro,11,"Wednesday, January 1, 2014"
2015,Alagoas,Setembro,7,"Thursday, January 1, 2015"
2016,Alagoas,Setembro,18,"Friday, January 1, 2016"
2017,Alagoas,Setembro,4,"Sunday, January 1, 2017"
1998,Alagoas,Outubro,20,"Thursday, January 1, 1998"
1999,Alagoas,Outubro,4,"Friday, January 1, 1999"
2000,Alagoas,Outubro,13,"Saturday, January 1, 2000"
2001,Alagoas,Outubro,15,"Monday, January 1, 2001"
2002,Alagoas,Outubro,30,"Tuesday, January 1, 2002"
2003,Alagoas,Outubro,10,"Wednesday, January 1, 2003"
2004,Alagoas,Outubro,12,"Thursday, January 1, 2004"
2005,Alagoas,Outubro,17,"Saturday, January 1, 2005"
2006,Alagoas,Outubro,32,"Sunday, January 1, 2006"
2007,Alagoas,Outubro,6,"Monday, January 1, 2007"
